source_file,date_time_original,model
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/IMG_7304.JPG,2024:10:03 17:12:00,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/20241003_171407_inlet.JPG,2024:10:03 17:12:00,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/IMG_7305.JPG,2024:10:03 17:12:15,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/7622/20241003_171402_upstream.JPG,2024:10:03 17:12:15,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7311.JPG,2024:10:04 09:41:22,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_095834_road.JPG,2024:10:04 09:41:22,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7313.JPG,2024:10:04 09:45:52,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_095844_inlet.JPG,2024:10:04 09:45:52,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7314.JPG,2024:10:04 09:46:03,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_095841_upstream.JPG,2024:10:04 09:46:03,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7315.JPG,2024:10:04 09:51:08,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_095837_barrel.JPG,2024:10:04 09:51:08,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7316.JPG,2024:10:04 09:54:32,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_095847_outlet.JPG,2024:10:04 09:54:32,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7317.JPG,2024:10:04 09:54:39,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_095849_downstream.JPG,2024:10:04 09:54:39,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00725.JPG,2024:10:04 09:57:07,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00724.JPG,2024:10:04 09:57:07,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00726.JPG,2024:10:04 09:57:10,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00727.JPG,2024:10:04 09:57:10,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7318.JPG,2024:10:04 09:59:05,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_095910_condition.JPG,2024:10:04 09:59:05,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/IMG_7319.JPG,2024:10:04 10:01:45,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/20241004_100157_paper_card.JPG,2024:10:04 10:01:45,iPhone 13 Pro Max
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00733.JPG,2024:10:04 10:05:39,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00734.JPG,2024:10:04 10:05:39,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00742.JPG,2024:10:04 10:09:28,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00741.JPG,2024:10:04 10:09:28,iPhone 12 mini
/Users/lucy/Library/CloudStorage/OneDrive-Personal/Projects/2024-074-sern-fraser-fish-passage/data/photos/sorted/5400203/TC_00744.JPG,2024:10:04 10:09:31,iPhone 12 mini
