rowid,aggregated_crossings_id,pscis_crossing_id,my_crossing_reference,source,barrier_result,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,crossing_fix,span_input
171,1005400201,,5400201,pscis_phase1.xlsm,Passable,1.7,1.5,-1.5,,
172,1024715754,,24715754,pscis_phase1.xlsm,Passable,12,2.5,-0.5,,
173,1005400159,,5400159,pscis_phase1.xlsm,Passable,,,,,
174,1005400180,,5400180,pscis_phase1.xlsm,Passable,,,,,
175,1015604870,,15604870,pscis_phase1.xlsm,Passable,,,,,
176,1015604704,,15604704,pscis_phase1.xlsm,Passable,,,,,
177,1015600065,,15600065,pscis_phase1.xlsm,Passable,,,,,
178,1024715750,,24715750,pscis_phase1.xlsm,Passable,,,,,
179,1009904385,,9904385,pscis_phase1.xlsm,Unknown,,,,,
180,1015600486,,15600486,pscis_phase1.xlsm,Unknown,,,,,
181,1015604176,,15604176,pscis_phase1.xlsm,Unknown,,,,,
182,1005401513,,5401513,pscis_phase1.xlsm,Unknown,,,,,
