collection_type,region_name,creek,site_name,site_e_dna_data_file,new_site,minnow_site,zone,easting,northing,date_raw,year,s_code,geom,date
ground,VF,Clear,In BD pond,CL03,CL02.1,CL02.1,10,426875,5994534,44375,2021,1,"c(1122779.52757982, 1011709.65505189)",2021-06-28
ground,VF,Clear,In BD pond,CL03,CL02.1,CL02.1,10,426875,5994534,44399,2021,2,"c(1122779.52757982, 1011709.65505189)",2021-07-22
ground,VF,Clear,In BD pond,CL03,CL02.1,CL02.1,10,426875,5994534,44434,2021,3,"c(1122779.52757982, 1011709.65505189)",2021-08-26
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,44756,2022,1,"c(1129253.82798501, 1004893.71768706)",2022-07-14
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,44791,2022,2,"c(1129253.82798501, 1004893.71768706)",2022-08-18
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,44830,2022,3,"c(1129253.82798501, 1004893.71768706)",2022-09-26
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,45112,2023,1,"c(1129253.82798501, 1004893.71768706)",2023-07-05
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,45133,2023,2,"c(1129253.82798501, 1004893.71768706)",2023-07-26
ground,VF,Clear,Bevans,CL01,CL01,NA,10,433070,5987471,45166,2023,3,"c(1129253.82798501, 1004893.71768706)",2023-08-28
ground,VF,Clear,Below BD,CL02,CL02,NA,10,426820,5994465,45112,2023,1,"c(1122727.63545818, 1011638.17563075)",2023-07-05
ground,VF,Clear,Below BD,CL02,CL02,NA,10,426820,5994465,45133,2023,2,"c(1122727.63545818, 1011638.17563075)",2023-07-26
ground,VF,Clear,Below BD,CL02,CL02,NA,10,426820,5994465,45166,2023,3,"c(1122727.63545818, 1011638.17563075)",2023-08-28
ground,VF,Clear,below culverts,CL03,CL03,NA,10,427770,5994448,45112,2023,1,"c(1123675.234666, 1011661.38287565)",2023-07-05
ground,VF,Clear,below culverts,CL03,CL03,NA,10,427770,5994448,45133,2023,2,"c(1123675.234666, 1011661.38287565)",2023-07-26
ground,VF,Clear,below culverts,CL03,CL03,NA,10,427770,5994448,45166,2023,3,"c(1123675.234666, 1011661.38287565)",2023-08-28
ground,VF,Clear,above culverts,CL04,CL04,NA,10,427949,5994477,45112,2023,1,"c(1123852.41634566, 1011698.02845234)",2023-07-05
ground,VF,Clear,above culverts,CL04,CL04,NA,10,427949,5994477,45133,2023,2,"c(1123852.41634566, 1011698.02845234)",2023-07-26
ground,VF,Clear,above culverts,CL04,CL04,NA,10,427949,5994477,45166,2023,3,"c(1123852.41634566, 1011698.02845234)",2023-08-28
ground,UN,Cutoff,Initial walk-in -below BDs,CT01 ,CT00,CT01 ,10,383485,5953075,44033,2020,1,"c(1081288.49759, 968326.860626299)",2020-07-21
ground,UN,Cutoff,Initial walk-in -below BDs,CT01 ,CT00,CT01 ,10,383485,5953075,44071,2020,2,"c(1081288.49759, 968326.860626299)",2020-08-28
ground,UN,Cutoff,Initial walk-in -below BDs,CT01 ,CT00,CT01 ,10,383485,5953075,44110,2020,3,"c(1081288.49759, 968326.860626299)",2020-10-06
ground,UN,Cutoff,Initial walk-in -below BDs,CT01 ,CT00,CT01 ,10,383485,5953075,44138,2020,4,"c(1081288.49759, 968326.860626299)",2020-11-03
ground,UN,Cutoff,At KDR,CT03,CT02,NA,10,381734,5951361,No sample,2022,1,"c(1079615.73144742, 966535.373733228)",NA
ground,UN,Cutoff,At KDR,CT03,CT02,NA,10,381734,5951361,No sample,2022,2,"c(1079615.73144742, 966535.373733228)",NA
ground,UN,Cutoff,At KDR,CT03,CT02,NA,10,381734,5951361,44823,2022,3,"c(1079615.73144742, 966535.373733228)",2022-09-19
riverboat,NKUN,Cutoff,Near confluence with Nechako,CT00,CT01 ,NA,10,383307,5952617,no sample,2023,1,"c(1081130.44163339, 967860.413810608)",NA
riverboat,NKUN,Cutoff,Near confluence with Nechako,CT00,CT01 ,NA,10,383307,5952617,no sample,2023,2,"c(1081130.44163339, 967860.413810608)",NA
riverboat,NKUN,Cutoff,Near confluence with Nechako,CT00,CT01 ,NA,10,383307,5952617,45162,2023,3,"c(1081130.44163339, 967860.413810608)",2023-08-24
ground,UN,Cutoff,At KDR,CT01,CT02,NA,10,381421,5951953,no sample,2023,1,"c(1079278.75974601, 967115.3185505)",NA
ground,UN,Cutoff,At KDR,CT01,CT02,NA,10,381421,5951953,No sample,2023,2,"c(1079278.75974601, 967115.3185505)",NA
ground,UN,Cutoff,At KDR,CT01,CT02,NA,10,381421,5951953,45162,2023,3,"c(1079278.75974601, 967115.3185505)",2023-08-24
ground,CK,Dahl,Near confluence with Chilako,DH01,DH01,n/a,10,490361,5950608,No sample,2023,1,"c(1187925.50060663, 970373.826017793)",NA
ground,CK,Dahl,Near confluence with Chilako,DH01,DH01,NA,10,490361,5950608,45155,2023,2,"c(1187925.50060663, 970373.826017793)",2023-08-17
ground,CK,Dahl,Near confluence with Chilako,DH01,DH01,NA,10,490361,5950608,No sample,2023,3,"c(1187925.50060663, 970373.826017793)",NA
ground,FF,Dog,Below DC FSR,DC01,DC01,DC01,10,398897,5996322,44355,2021,1,"c(1094818.48439174, 1012315.70237036)",2021-06-08
ground,FF,Dog,Below DC FSR,DC01,DC01,DC01,10,398897,5996322,44399,2021,2,"c(1094818.48439174, 1012315.70237036)",2021-07-22
ground,FF,Dog,Below DC FSR,DC01,DC01,DC01,10,398897,5996322,44434,2021,3,"c(1094818.48439174, 1012315.70237036)",2021-08-26
ground,FF,Dog,Below DC FSR,DC01,DC01,DC01,10,398897,5996322,44763,2022,1,"c(1094818.48439174, 1012315.70237036)",2022-07-21
ground,FF,Dog,Below DC FSR,DC01,DC01,DC01,10,398897,5996322,44797,2022,2,"c(1094818.48439174, 1012315.70237036)",2022-08-24
ground,FF,Dog,Below DC FSR,DC01,DC01,DC01,10,398897,5996322,44831,2022,3,"c(1094818.48439174, 1012315.70237036)",2022-09-27
ground,FF,Dog,Above DC FSR,DC02,DC02,DC02,10,398932,5996382,No sample,2022,1,"c(1094850.82348784, 1012377.31289515)",NA
ground,FF,Dog,Above DC FSR,DC02,DC02,DC02,10,398932,5996382,44797,2022,2,"c(1094850.82348784, 1012377.31289515)",2022-08-24
ground,FF,Dog,Above DC FSR,DC02,DC02,DC02,10,398932,5996382,No sample,2022,3,"c(1094850.82348784, 1012377.31289515)",NA
ground,FF,Dog,Below DC FSR,DC01,DC01,DC01,10,398897,5996322,45111,2023,1,"c(1094818.48439174, 1012315.70237036)",2023-07-04
ground,FF,Dog,Below DC FSR,DC01,DC01,DC01,10,398897,5996322,45132,2023,2,"c(1094818.48439174, 1012315.70237036)",2023-07-25
ground,FF,Dog,Below DC FSR,DC01,DC01,DC01,10,398897,5996322,45169,2023,3,"c(1094818.48439174, 1012315.70237036)",2023-08-31
ground,VF,Eden (clear trib),East fork of Clear,EN01,EN01,NA,10,427720,5994373,45112,2023,1,"c(1123628.58061464, 1011584.10222181)",2023-07-05
ground,VF,Eden (clear trib),East fork of Clear,EN01,EN01,NA,10,427720,5994373,45133,2023,2,"c(1123628.58061464, 1011584.10222181)",2023-07-26
ground,VF,Eden (clear trib),East fork of Clear,EN01,EN01,NA,10,427720,5994373,45166,2023,3,"c(1123628.58061464, 1011584.10222181)",2023-08-28
ground,END,Endako,Endako mainstem,ED13,ED13,NA,10,368602,5994506,No sample,2023,1,"c(1064703.08947712, 1009210.88469743)",NA
ground,END,Endako,Endako mainstem,ED13,ED13,NA,10,368602,5994506,45153,2023,2,"c(1064703.08947712, 1009210.88469743)",2023-08-15
ground,END,Endako,Endako mainstem,ED13,ED13,NA,10,368602,5994506,No sample,2023,3,"c(1064703.08947712, 1009210.88469743)",NA
ground,END,Endako,Endako mainstem,ED18,ED18,NA,10,366081,5995137,No sample,2023,1,"c(1062164.02605293, 1009736.17294731)",NA
ground,END,Endako,Endako mainstem,ED18,ED18,NA,10,366081,5995137,45153,2023,2,"c(1062164.02605293, 1009736.17294731)",2023-08-15
ground,END,Endako,Endako mainstem,ED18,ED18,NA,10,366081,5995137,No sample,2023,3,"c(1062164.02605293, 1009736.17294731)",NA
ground,END,Endako,Endako mainstem,ED22,ED22,NA,10,363740,5995069,No sample,2023,1,"c(1059833.96937285, 1009568.68366955)",NA
ground,END,Endako,Endako mainstem,ED22,ED22,NA,10,363740,5995069,45153,2023,2,"c(1059833.96937285, 1009568.68366955)",2023-08-15
ground,END,Endako,Endako mainstem,ED22,ED22,NA,10,363740,5995069,No sample,2023,3,"c(1059833.96937285, 1009568.68366955)",NA
ground,END,Endako,Endako mainstem,ED26,ED26,NA,10,361870,5995530,No sample,2023,1,"c(1057950.8997663, 1009951.2358596)",NA
