area,waterbody,gazetted_name,local_name_1,local_name_2,analysis_yr,species,natural_adult_spawners,natural_jack_spawners,natural_spawners_total,adult_broodstock_removals,jack_broodstock_removals,total_broodstock_removals,other_removals,total_return_to_river,enumeration_methods,adult_presence,jack_presence,start_dtt,end_dtt,natural_adult_females,natural_adult_males,effective_females,weighted_pct_spawn,watershed_cde,waterbody_id,population,run_type,stream_arrival_dt_from,stream_arrival_dt_to,start_spawn_dt_from,start_spawn_dt_to,peak_spawn_dt_from,peak_spawn_dt_to,end_spawn_dt_from,end_spawn_dt_to,accuracy,precision,index_yn,reliability,estimate_stage,estimate_classification,no_inspections_used,estimate_method,created_dtt,updated_dtt,act_id,pop_id,gfe_id
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1990,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Chum,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,991569,41336,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1984,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE OBSERVED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Chinook Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,804991,41338,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1965,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Chum,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919547,41336,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1975,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Sockeye Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,804974,41330,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1959,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Pink Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919557,41334,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1969,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Sockeye Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919598,41330,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1993,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Pink Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,991548,41334,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1996,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,NA,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Pink Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Not Applicable,22-OCT-03,NA,14521049,41334,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1979,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Coho,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919536,41332,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1985,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Coho,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,925993,41332,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1985,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek (Tahsis) Chinook Run 1,1,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,925994,41338,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1993,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Coho,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,923792,41332,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1953,Chum,NA,NA,NA,NA,NA,NA,NA,750,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Chum,FALL,NA,NA,15-OCT-53,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,949295,41336,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1974,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Coho,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,804981,41332,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1964,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Chum,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919552,41336,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1961,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Coho,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919581,41332,1357
25,BANCROFT CREEK,BANCROFT CREEK,NA,NA,1956,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,930-507400-39700-00000-0000-0000-000-000-000-000-000-000,00000CLAY,Bancroft Creek Chum,FALL,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,919611,41336,1357
